Configuration,Score,Seed,Environment
7,-135.56497,3,box2d_lunar_lander
7,-155.74054,4,box2d_lunar_lander
7,-195.02634,5,box2d_lunar_lander
7,-150.68466,6,box2d_lunar_lander
7,-22.832958,7,box2d_lunar_lander
7,-240.30946,8,box2d_lunar_lander
7,-217.26105,9,box2d_lunar_lander
8,180.2641,0,box2d_lunar_lander
8,-173.5901,1,box2d_lunar_lander
8,103.79371,2,box2d_lunar_lander
8,-413.01508,3,box2d_lunar_lander
8,-134.27438,4,box2d_lunar_lander
8,80.22823,5,box2d_lunar_lander
8,145.022,6,box2d_lunar_lander
8,108.066696,7,box2d_lunar_lander
8,35.580048,8,box2d_lunar_lander
8,-112.76916,9,box2d_lunar_lander
9,-80.03819,0,box2d_lunar_lander
9,-28.054764,1,box2d_lunar_lander
9,157.20242,2,box2d_lunar_lander
9,123.10833,3,box2d_lunar_lander
9,-33.409336,4,box2d_lunar_lander
9,28.20387,5,box2d_lunar_lander
9,-759.4342,6,box2d_lunar_lander
9,-4.6831574,7,box2d_lunar_lander
9,-1640.3184,8,box2d_lunar_lander
9,192.28168,9,box2d_lunar_lander
10,-148.58124,0,box2d_lunar_lander
10,-160.62073,1,box2d_lunar_lander
10,-139.30301,2,box2d_lunar_lander
10,-138.61746,3,box2d_lunar_lander
10,-135.28125,4,box2d_lunar_lander
10,-131.0393,5,box2d_lunar_lander
10,-146.62292,6,box2d_lunar_lander
10,-153.77948,7,box2d_lunar_lander
10,-141.9349,8,box2d_lunar_lander
10,-141.03136,9,box2d_lunar_lander
11,-772.40857,0,box2d_lunar_lander
11,-138.42636,1,box2d_lunar_lander
11,-226.83766,2,box2d_lunar_lander
11,-139.99118,3,box2d_lunar_lander
11,-139.22318,4,box2d_lunar_lander
11,-224.43011,5,box2d_lunar_lander
11,-121.93739,6,box2d_lunar_lander
11,-223.00372,7,box2d_lunar_lander
11,-204.22093,8,box2d_lunar_lander
11,-159.3824,9,box2d_lunar_lander
12,118.39495,0,box2d_lunar_lander
12,200.89462,1,box2d_lunar_lander
12,-235.10504,2,box2d_lunar_lander
12,-51.169342,3,box2d_lunar_lander
12,105.14102,4,box2d_lunar_lander
12,-36.92453,5,box2d_lunar_lander
12,100.608284,6,box2d_lunar_lander
12,-139.58928,7,box2d_lunar_lander
12,-34.374237,8,box2d_lunar_lander
12,-7.8742805,9,box2d_lunar_lander
13,80.46806,0,box2d_lunar_lander
13,-263.62527,1,box2d_lunar_lander
13,-62.89569,2,box2d_lunar_lander
13,224.15298,3,box2d_lunar_lander
13,-125.2182,4,box2d_lunar_lander
13,186.38593,5,box2d_lunar_lander
13,-73.7168,6,box2d_lunar_lander
13,-111.4787,7,box2d_lunar_lander
13,68.13605,8,box2d_lunar_lander
13,105.75889,9,box2d_lunar_lander
14,-572.9888,0,box2d_lunar_lander
14,-143.80957,1,box2d_lunar_lander
14,-210.57248,2,box2d_lunar_lander
14,-149.70581,3,box2d_lunar_lander
14,-777.98584,4,box2d_lunar_lander
14,-144.19766,5,box2d_lunar_lander
14,-158.13753,6,box2d_lunar_lander
14,-153.62292,7,box2d_lunar_lander
14,-588.09045,8,box2d_lunar_lander
14,-144.5584,9,box2d_lunar_lander
15,-197.53754,0,box2d_lunar_lander
15,-100.70223,1,box2d_lunar_lander
15,-166.14807,2,box2d_lunar_lander
15,-385.98053,3,box2d_lunar_lander
15,-217.27322,4,box2d_lunar_lander
15,-908.68396,5,box2d_lunar_lander
15,-421.99338,6,box2d_lunar_lander
15,-76.61667,7,box2d_lunar_lander
15,-239.46336,8,box2d_lunar_lander
15,-607.4812,9,box2d_lunar_lander
16,-144.70558,0,box2d_lunar_lander
16,-410.66498,1,box2d_lunar_lander
16,-232.91983,2,box2d_lunar_lander
16,-137.42215,3,box2d_lunar_lander
16,-152.73483,4,box2d_lunar_lander
16,-831.77136,5,box2d_lunar_lander
16,-129.3764,6,box2d_lunar_lander
16,-147.86163,7,box2d_lunar_lander
16,-589.5246,8,box2d_lunar_lander
16,-256.53568,9,box2d_lunar_lander
17,-208.0029,0,box2d_lunar_lander
17,-169.53558,1,box2d_lunar_lander
17,-159.16687,2,box2d_lunar_lander
17,-154.1907,3,box2d_lunar_lander
17,-131.47504,4,box2d_lunar_lander
17,-269.80548,5,box2d_lunar_lander
17,-1694.5454,6,box2d_lunar_lander
17,-252.34326,7,box2d_lunar_lander
17,-112.89412,8,box2d_lunar_lander
17,-152.57243,9,box2d_lunar_lander
18,-58.585648,0,box2d_lunar_lander
18,-181.33148,1,box2d_lunar_lander
18,-254.62978,2,box2d_lunar_lander
18,-169.3193,3,box2d_lunar_lander
18,-293.53006,4,box2d_lunar_lander
18,-200.35219,5,box2d_lunar_lander
18,-160.70998,6,box2d_lunar_lander
18,40.950523,7,box2d_lunar_lander
18,-271.51544,8,box2d_lunar_lander
18,-143.92255,9,box2d_lunar_lander
19,-148.86931,0,box2d_lunar_lander
19,-153.64317,1,box2d_lunar_lander
19,-134.3948,2,box2d_lunar_lander
19,-167.27339,3,box2d_lunar_lander
19,-144.876,4,box2d_lunar_lander
19,-144.85861,5,box2d_lunar_lander
19,-97.908356,6,box2d_lunar_lander
19,-80.44374,7,box2d_lunar_lander
19,-135.34781,8,box2d_lunar_lander
19,-156.96017,9,box2d_lunar_lander
20,178.35275,0,box2d_lunar_lander
20,103.06364,1,box2d_lunar_lander
20,169.51514,2,box2d_lunar_lander
20,63.687714,3,box2d_lunar_lander
20,-213.01678,4,box2d_lunar_lander
20,119.72275,5,box2d_lunar_lander
20,119.52082,6,box2d_lunar_lander
20,56.56823,7,box2d_lunar_lander
20,46.74367,8,box2d_lunar_lander
20,59.780586,9,box2d_lunar_lander
21,-152.41202,0,box2d_lunar_lander
21,-281.99915,1,box2d_lunar_lander
21,-288.80325,2,box2d_lunar_lander
21,-801.56067,3,box2d_lunar_lander
21,-149.62122,4,box2d_lunar_lander
21,-57.762035,5,box2d_lunar_lander
21,-224.52554,6,box2d_lunar_lander
21,-100.04866,7,box2d_lunar_lander
21,-42.194138,8,box2d_lunar_lander
21,-155.91017,9,box2d_lunar_lander
22,-350.9272,0,box2d_lunar_lander
22,-332.54376,1,box2d_lunar_lander
22,-497.8639,2,box2d_lunar_lander
22,-342.15186,3,box2d_lunar_lander
22,-384.43442,4,box2d_lunar_lander
22,-297.24115,5,box2d_lunar_lander
22,-235.53448,6,box2d_lunar_lander
22,-475.34772,7,box2d_lunar_lander
22,-440.44614,8,box2d_lunar_lander
22,-514.2417,9,box2d_lunar_lander
23,-153.49463,0,box2d_lunar_lander
23,-146.87912,1,box2d_lunar_lander
23,-589.8961,2,box2d_lunar_lander
23,-139.52371,3,box2d_lunar_lander
23,-153.81558,4,box2d_lunar_lander
23,-145.4091,5,box2d_lunar_lander
23,-159.5715,6,box2d_lunar_lander
23,-141.11658,7,box2d_lunar_lander
23,-151.10617,8,box2d_lunar_lander
23,-852.32117,9,box2d_lunar_lander
24,-281.35187,0,box2d_lunar_lander
24,-158.7896,1,box2d_lunar_lander
24,-204.90997,2,box2d_lunar_lander
24,159.64648,3,box2d_lunar_lander
24,-291.55804,4,box2d_lunar_lander
24,-177.63809,5,box2d_lunar_lander
24,98.51222,6,box2d_lunar_lander
24,-143.4849,7,box2d_lunar_lander
24,35.95371,8,box2d_lunar_lander
24,-162.3989,9,box2d_lunar_lander
25,-141.46542,0,box2d_lunar_lander
25,-137.92288,1,box2d_lunar_lander
25,-146.96088,2,box2d_lunar_lander
25,-152.19125,3,box2d_lunar_lander
25,-146.92725,4,box2d_lunar_lander
25,-157.73796,5,box2d_lunar_lander
25,-138.6791,6,box2d_lunar_lander
25,-141.49423,7,box2d_lunar_lander
25,-148.7608,8,box2d_lunar_lander
25,-138.27332,9,box2d_lunar_lander
26,-150.05206,0,box2d_lunar_lander
26,-145.12128,1,box2d_lunar_lander
26,-141.67651,2,box2d_lunar_lander
26,-140.16086,3,box2d_lunar_lander
26,-145.52141,4,box2d_lunar_lander
26,-164.93205,5,box2d_lunar_lander
26,-146.03763,6,box2d_lunar_lander
26,-841.81494,7,box2d_lunar_lander
26,-158.50613,8,box2d_lunar_lander
26,-151.31909,9,box2d_lunar_lander
27,-136.98927,0,box2d_lunar_lander
27,-149.30017,1,box2d_lunar_lander
27,-171.25095,2,box2d_lunar_lander
27,-143.15295,3,box2d_lunar_lander
27,-168.1641,4,box2d_lunar_lander
27,-166.82379,5,box2d_lunar_lander
27,-141.74554,6,box2d_lunar_lander
27,-139.3631,7,box2d_lunar_lander
27,-133.32352,8,box2d_lunar_lander
27,-162.11343,9,box2d_lunar_lander
28,-159.14471,0,box2d_lunar_lander
28,-180.1324,1,box2d_lunar_lander
28,-138.5589,2,box2d_lunar_lander
28,-141.29483,3,box2d_lunar_lander
28,-135.80698,4,box2d_lunar_lander
28,-148.4946,5,box2d_lunar_lander
28,-152.15915,6,box2d_lunar_lander
28,-158.21136,7,box2d_lunar_lander
28,-131.61104,8,box2d_lunar_lander
28,-145.93729,9,box2d_lunar_lander
29,-788.2853,0,box2d_lunar_lander
29,-135.5407,1,box2d_lunar_lander
29,-374.15662,2,box2d_lunar_lander
29,-176.11865,3,box2d_lunar_lander
29,-136.99268,4,box2d_lunar_lander
29,-139.38815,5,box2d_lunar_lander
29,-161.60458,6,box2d_lunar_lander
29,-148.54692,7,box2d_lunar_lander
29,-147.14386,8,box2d_lunar_lander
29,-154.57672,9,box2d_lunar_lander
30,22.27537,0,box2d_lunar_lander
30,-183.2698,1,box2d_lunar_lander
30,-177.75311,2,box2d_lunar_lander
30,-435.63074,3,box2d_lunar_lander
30,-290.21893,4,box2d_lunar_lander
30,-551.7764,5,box2d_lunar_lander
30,-198.99852,6,box2d_lunar_lander
30,-144.86102,7,box2d_lunar_lander
30,-627.65247,8,box2d_lunar_lander
30,-140.26712,9,box2d_lunar_lander
31,10.28514,0,box2d_lunar_lander
31,-60.129593,1,box2d_lunar_lander
31,-258.08466,2,box2d_lunar_lander
31,116.194115,3,box2d_lunar_lander
31,-64.99135,4,box2d_lunar_lander
31,36.41942,5,box2d_lunar_lander
31,-99.81007,6,box2d_lunar_lander
31,-124.55099,7,box2d_lunar_lander
31,-377.1526,8,box2d_lunar_lander
31,-138.00041,9,box2d_lunar_lander
32,174.75241,0,box2d_lunar_lander
32,-111.10698,1,box2d_lunar_lander
32,3.0219896,2,box2d_lunar_lander
32,-106.96231,3,box2d_lunar_lander
32,-87.083755,4,box2d_lunar_lander
32,-22.967281,5,box2d_lunar_lander
32,69.308586,6,box2d_lunar_lander
32,-61.376183,7,box2d_lunar_lander
32,-164.42975,8,box2d_lunar_lander
32,-133.24106,9,box2d_lunar_lander
33,-135.45471,0,box2d_lunar_lander
33,-150.48749,1,box2d_lunar_lander
33,-778.42,2,box2d_lunar_lander
33,-150.68085,3,box2d_lunar_lander
33,-140.37173,4,box2d_lunar_lander
33,-152.66907,5,box2d_lunar_lander
33,-148.31516,6,box2d_lunar_lander
33,-142.03398,7,box2d_lunar_lander
33,-160.46399,8,box2d_lunar_lander
33,-167.0834,9,box2d_lunar_lander
34,-289.20807,0,box2d_lunar_lander
34,-303.36917,1,box2d_lunar_lander
34,-163.10013,2,box2d_lunar_lander
34,-291.54706,3,box2d_lunar_lander
34,-182.12057,4,box2d_lunar_lander
34,-304.11447,5,box2d_lunar_lander
34,-308.0033,6,box2d_lunar_lander
34,-168.27292,7,box2d_lunar_lander
34,-227.69467,8,box2d_lunar_lander
34,-156.60114,9,box2d_lunar_lander
35,200.00749,0,box2d_lunar_lander
35,-136.9881,1,box2d_lunar_lander
35,174.97043,2,box2d_lunar_lander
35,-29.75137,3,box2d_lunar_lander
35,-171.8411,4,box2d_lunar_lander
35,170.5334,5,box2d_lunar_lander
35,173.05086,6,box2d_lunar_lander
35,201.41656,7,box2d_lunar_lander
35,177.90567,8,box2d_lunar_lander
35,-23.964085,9,box2d_lunar_lander
36,-274.94775,0,box2d_lunar_lander
36,-273.40912,1,box2d_lunar_lander
36,-215.45157,2,box2d_lunar_lander
36,-286.67554,3,box2d_lunar_lander
36,-145.38318,4,box2d_lunar_lander
36,-161.22458,5,box2d_lunar_lander
36,-149.75027,6,box2d_lunar_lander
36,-70.458595,7,box2d_lunar_lander
36,-83.498344,8,box2d_lunar_lander
36,-146.01788,9,box2d_lunar_lander
37,-320.14,0,box2d_lunar_lander
37,-238.3833,1,box2d_lunar_lander
37,-466.6904,2,box2d_lunar_lander
37,-345.62698,3,box2d_lunar_lander
37,-916.276,4,box2d_lunar_lander
37,-325.20004,5,box2d_lunar_lander
37,-232.73647,6,box2d_lunar_lander
37,-395.77588,7,box2d_lunar_lander
37,-485.46143,8,box2d_lunar_lander
37,-132.50615,9,box2d_lunar_lander
38,-143.54504,0,box2d_lunar_lander
38,-145.7222,1,box2d_lunar_lander
38,-148.40622,2,box2d_lunar_lander
38,-130.34805,3,box2d_lunar_lander
38,-141.4743,4,box2d_lunar_lander
38,-142.55084,5,box2d_lunar_lander
38,-150.19556,6,box2d_lunar_lander
38,-150.71553,7,box2d_lunar_lander
38,-144.66916,8,box2d_lunar_lander
38,-820.9341,9,box2d_lunar_lander
39,98.07379,0,box2d_lunar_lander
39,-64.734024,1,box2d_lunar_lander
39,-112.23593,2,box2d_lunar_lander
39,-161.02899,3,box2d_lunar_lander
39,203.90349,4,box2d_lunar_lander
39,99.06331,5,box2d_lunar_lander
39,87.433136,6,box2d_lunar_lander
39,213.74069,7,box2d_lunar_lander
39,105.93729,8,box2d_lunar_lander
39,115.71678,9,box2d_lunar_lander
40,-483.72937,0,box2d_lunar_lander
40,-181.14096,1,box2d_lunar_lander
40,-279.03433,2,box2d_lunar_lander
40,-199.74005,3,box2d_lunar_lander
40,-312.16638,4,box2d_lunar_lander
40,-281.31647,5,box2d_lunar_lander
40,-249.10654,6,box2d_lunar_lander
40,-110.97224,7,box2d_lunar_lander
40,-143.16418,8,box2d_lunar_lander
40,-442.08453,9,box2d_lunar_lander
41,-183.14276,0,box2d_lunar_lander
41,-141.92001,1,box2d_lunar_lander
41,-142.25888,2,box2d_lunar_lander
41,-186.12665,3,box2d_lunar_lander
41,-149.29071,4,box2d_lunar_lander
41,-157.30952,5,box2d_lunar_lander
41,-144.75967,6,box2d_lunar_lander
41,-147.85558,7,box2d_lunar_lander
41,-141.51538,8,box2d_lunar_lander
41,-154.64117,9,box2d_lunar_lander
42,-154.23314,0,box2d_lunar_lander
42,-153.8743,1,box2d_lunar_lander
42,-164.72723,2,box2d_lunar_lander
42,-153.4046,3,box2d_lunar_lander
42,-139.77112,4,box2d_lunar_lander
42,-585.328,5,box2d_lunar_lander
42,-133.17169,6,box2d_lunar_lander
42,-144.41298,7,box2d_lunar_lander
42,-164.62404,8,box2d_lunar_lander
42,-144.76768,9,box2d_lunar_lander
43,-137.3577,0,box2d_lunar_lander
43,-143.4114,1,box2d_lunar_lander
43,-156.05928,2,box2d_lunar_lander
43,-316.1479,3,box2d_lunar_lander
43,-145.26772,4,box2d_lunar_lander
43,-145.69522,5,box2d_lunar_lander
43,-117.92995,6,box2d_lunar_lander
43,-256.96356,7,box2d_lunar_lander
43,-143.90279,8,box2d_lunar_lander
43,-162.85728,9,box2d_lunar_lander
44,-124.14892,0,box2d_lunar_lander
44,144.04663,1,box2d_lunar_lander
44,-130.84996,2,box2d_lunar_lander
44,-156.85178,3,box2d_lunar_lander
44,-65.7167,4,box2d_lunar_lander
44,51.956886,5,box2d_lunar_lander
44,110.48441,6,box2d_lunar_lander
44,-94.28142,7,box2d_lunar_lander
44,-93.3136,8,box2d_lunar_lander
44,-31.12624,9,box2d_lunar_lander
45,-479.13144,0,box2d_lunar_lander
45,-219.24709,1,box2d_lunar_lander
45,-147.74481,2,box2d_lunar_lander
45,-245.9173,3,box2d_lunar_lander
45,-151.51958,4,box2d_lunar_lander
45,-298.2953,5,box2d_lunar_lander
45,-235.41327,6,box2d_lunar_lander
45,-329.0594,7,box2d_lunar_lander
45,-140.86818,8,box2d_lunar_lander
45,-331.14703,9,box2d_lunar_lander
46,-165.09561,0,box2d_lunar_lander
46,-163.37814,1,box2d_lunar_lander
46,-231.76721,2,box2d_lunar_lander
46,-143.24438,3,box2d_lunar_lander
46,-549.07153,4,box2d_lunar_lander
46,-190.6254,5,box2d_lunar_lander
46,-131.18515,6,box2d_lunar_lander
46,-149.9081,7,box2d_lunar_lander
46,-866.209,8,box2d_lunar_lander
46,-143.0215,9,box2d_lunar_lander
47,-162.12076,0,box2d_lunar_lander
47,133.29268,1,box2d_lunar_lander
47,-123.73245,2,box2d_lunar_lander
47,1.3746572,3,box2d_lunar_lander
47,-69.3364,4,box2d_lunar_lander
47,-282.92358,5,box2d_lunar_lander
47,-111.799225,6,box2d_lunar_lander
47,-210.88043,7,box2d_lunar_lander
47,-330.2298,8,box2d_lunar_lander
47,-50.694923,9,box2d_lunar_lander
48,-534.1168,0,box2d_lunar_lander
48,-144.76535,1,box2d_lunar_lander
48,-271.21716,2,box2d_lunar_lander
48,-152.30057,3,box2d_lunar_lander
48,-505.76614,4,box2d_lunar_lander
48,-532.4468,5,box2d_lunar_lander
48,-150.14772,6,box2d_lunar_lander
48,-557.4564,7,box2d_lunar_lander
48,-157.89442,8,box2d_lunar_lander
48,-244.91492,9,box2d_lunar_lander
49,86.91231,0,box2d_lunar_lander
49,-79.73978,1,box2d_lunar_lander
49,-218.24472,2,box2d_lunar_lander
49,-23.34259,3,box2d_lunar_lander
49,-208.82422,4,box2d_lunar_lander
49,-54.552917,5,box2d_lunar_lander
49,-119.41233,6,box2d_lunar_lander
49,-113.59192,7,box2d_lunar_lander
49,-104.10701,8,box2d_lunar_lander
49,-103.885345,9,box2d_lunar_lander
50,-162.88089,0,box2d_lunar_lander
50,-152.36382,1,box2d_lunar_lander
50,-209.9404,2,box2d_lunar_lander
50,-206.32777,3,box2d_lunar_lander
50,-171.5635,4,box2d_lunar_lander
50,-65.84306,5,box2d_lunar_lander
50,-158.04382,6,box2d_lunar_lander
50,-69.20102,7,box2d_lunar_lander
50,-303.65546,8,box2d_lunar_lander
50,-152.78343,9,box2d_lunar_lander
51,-163.2016,0,box2d_lunar_lander
51,-123.571304,1,box2d_lunar_lander
51,-157.59381,2,box2d_lunar_lander
51,-223.67484,3,box2d_lunar_lander
51,-168.88504,4,box2d_lunar_lander
51,-69.32703,5,box2d_lunar_lander
51,-65.71918,6,box2d_lunar_lander
51,247.58069,7,box2d_lunar_lander
51,-66.7578,8,box2d_lunar_lander
51,-476.26736,9,box2d_lunar_lander
52,-161.7601,0,box2d_lunar_lander
52,-140.44875,1,box2d_lunar_lander
52,-158.0507,2,box2d_lunar_lander
52,-142.99632,3,box2d_lunar_lander
52,-143.73593,4,box2d_lunar_lander
52,-152.79204,5,box2d_lunar_lander
52,-144.47748,6,box2d_lunar_lander
52,-144.70271,7,box2d_lunar_lander
52,-141.85745,8,box2d_lunar_lander
52,-140.30585,9,box2d_lunar_lander
53,-198.1645,0,box2d_lunar_lander
53,-259.67664,1,box2d_lunar_lander
53,-18.449814,2,box2d_lunar_lander
53,-69.05927,3,box2d_lunar_lander
53,-110.21791,4,box2d_lunar_lander
53,-220.49518,5,box2d_lunar_lander
53,-76.206276,6,box2d_lunar_lander
53,-147.15215,7,box2d_lunar_lander
53,-540.50684,8,box2d_lunar_lander
53,-107.494736,9,box2d_lunar_lander
54,-144.3811,0,box2d_lunar_lander
54,-576.6703,1,box2d_lunar_lander
54,-146.1579,2,box2d_lunar_lander
54,-861.3384,3,box2d_lunar_lander
54,-151.89578,4,box2d_lunar_lander
54,-144.44803,5,box2d_lunar_lander
54,-142.29982,6,box2d_lunar_lander
54,-162.69678,7,box2d_lunar_lander
54,-574.4714,8,box2d_lunar_lander
54,-131.75763,9,box2d_lunar_lander
55,-153.5563,0,box2d_lunar_lander
55,-138.30466,1,box2d_lunar_lander
55,-151.04994,2,box2d_lunar_lander
55,-137.4399,3,box2d_lunar_lander
55,-132.6012,4,box2d_lunar_lander
55,-141.77522,5,box2d_lunar_lander
55,-140.16086,6,box2d_lunar_lander
55,-149.12091,7,box2d_lunar_lander
55,-139.84277,8,box2d_lunar_lander
55,-160.94647,9,box2d_lunar_lander
56,173.1155,0,box2d_lunar_lander
56,-90.71221,1,box2d_lunar_lander
56,-17.391817,2,box2d_lunar_lander
56,-11.034196,3,box2d_lunar_lander
56,118.526245,4,box2d_lunar_lander
56,-127.35096,5,box2d_lunar_lander
56,-25.886518,6,box2d_lunar_lander
56,135.01752,7,box2d_lunar_lander
56,87.21365,8,box2d_lunar_lander
56,-105.644165,9,box2d_lunar_lander
57,-268.75052,0,box2d_lunar_lander
57,-287.41037,1,box2d_lunar_lander
57,-52.392143,2,box2d_lunar_lander
57,-164.69604,3,box2d_lunar_lander
57,-120.81296,4,box2d_lunar_lander
57,-197.9859,5,box2d_lunar_lander
57,-223.51062,6,box2d_lunar_lander
57,-340.6156,7,box2d_lunar_lander
57,-442.46954,8,box2d_lunar_lander
57,-121.00159,9,box2d_lunar_lander
58,-147.93103,0,box2d_lunar_lander
58,-139.05298,1,box2d_lunar_lander
58,-158.69022,2,box2d_lunar_lander
58,-139.21683,3,box2d_lunar_lander
58,-152.8749,4,box2d_lunar_lander
58,-134.52815,5,box2d_lunar_lander
58,-139.98447,6,box2d_lunar_lander
58,-135.45076,7,box2d_lunar_lander
58,-136.0905,8,box2d_lunar_lander
58,-143.33426,9,box2d_lunar_lander
59,57.38994,0,box2d_lunar_lander
59,-79.23277,1,box2d_lunar_lander
59,148.41988,2,box2d_lunar_lander
59,104.614235,3,box2d_lunar_lander
59,4.268941,4,box2d_lunar_lander
59,-347.23923,5,box2d_lunar_lander
59,29.484352,6,box2d_lunar_lander
59,1.0775285,7,box2d_lunar_lander
59,-53.059013,8,box2d_lunar_lander
59,-141.6735,9,box2d_lunar_lander
60,-158.5574,0,box2d_lunar_lander
60,-166.28696,1,box2d_lunar_lander
60,-143.02377,2,box2d_lunar_lander
60,-148.54906,3,box2d_lunar_lander
60,-159.85728,4,box2d_lunar_lander
60,-133.41241,5,box2d_lunar_lander
60,-158.32271,6,box2d_lunar_lander
60,-141.79163,7,box2d_lunar_lander
60,-162.45926,8,box2d_lunar_lander
60,-152.6637,9,box2d_lunar_lander
61,-162.194,0,box2d_lunar_lander
61,-157.50357,1,box2d_lunar_lander
61,-153.87454,2,box2d_lunar_lander
61,-177.21915,3,box2d_lunar_lander
61,-155.55775,4,box2d_lunar_lander
61,-167.35068,5,box2d_lunar_lander
61,-787.71716,6,box2d_lunar_lander
61,-138.70425,7,box2d_lunar_lander
61,-596.9035,8,box2d_lunar_lander
61,-147.76013,9,box2d_lunar_lander
62,-503.2697,0,box2d_lunar_lander
62,-442.43967,1,box2d_lunar_lander
62,-127.09326,2,box2d_lunar_lander
62,-259.95923,3,box2d_lunar_lander
62,-478.8731,4,box2d_lunar_lander
62,-467.4171,5,box2d_lunar_lander
62,-95.471085,6,box2d_lunar_lander
62,-172.20099,7,box2d_lunar_lander
62,-364.98297,8,box2d_lunar_lander
62,-382.8037,9,box2d_lunar_lander
63,-570.84607,0,box2d_lunar_lander
63,-177.31477,1,box2d_lunar_lander
63,-214.27002,2,box2d_lunar_lander
63,-66.17359,3,box2d_lunar_lander
63,53.127342,4,box2d_lunar_lander
63,-203.97374,5,box2d_lunar_lander
63,-242.68568,6,box2d_lunar_lander
63,-102.32347,7,box2d_lunar_lander
63,-445.98126,8,box2d_lunar_lander
63,-272.5251,9,box2d_lunar_lander
64,-833.7606,0,box2d_lunar_lander
64,-584.79333,1,box2d_lunar_lander
64,-430.76065,2,box2d_lunar_lander
64,-145.7643,3,box2d_lunar_lander
64,-144.05005,4,box2d_lunar_lander
64,-137.66876,5,box2d_lunar_lander
64,-290.37927,6,box2d_lunar_lander
64,-503.21826,7,box2d_lunar_lander
64,-165.80936,8,box2d_lunar_lander
64,-566.2538,9,box2d_lunar_lander
65,-508.97632,0,box2d_lunar_lander
65,-481.49756,1,box2d_lunar_lander
65,-248.58661,2,box2d_lunar_lander
65,-491.2161,3,box2d_lunar_lander
65,-238.62848,4,box2d_lunar_lander
65,-136.74406,5,box2d_lunar_lander
65,-244.6817,6,box2d_lunar_lander
65,-336.2815,7,box2d_lunar_lander
65,-273.26694,8,box2d_lunar_lander
65,-230.64328,9,box2d_lunar_lander
66,-144.9945,0,box2d_lunar_lander
66,-143.53236,1,box2d_lunar_lander
66,-136.60434,2,box2d_lunar_lander
66,-156.71124,3,box2d_lunar_lander
66,-149.75226,4,box2d_lunar_lander
66,-136.94402,5,box2d_lunar_lander
66,-149.69684,6,box2d_lunar_lander
66,-168.94891,7,box2d_lunar_lander
