n_subset,algorithm,score,correlation,strategy
1,dqn,0.04084824569313681,0.6898402869220409,Ranks + MSE
1,dqn,0.0,1.0,Optimum
1,dqn,0.0414001816035745,0.6829088237292463,Ranks + MSE
1,sac,0.0,1.0,Optimum
1,sac,0.023770228601469087,0.8237948717948719,Ranks + MSE
1,sac,0.0,1.0,Optimum
1,sac,0.021228804298992533,0.8239829059829059,Ranks + MSE
1,sac,0.0,1.0,Optimum
1,sac,0.036085601626044836,0.691162393162393,Ranks + MSE
1,ppo,0.0,1.0,Optimum
1,ppo,0.03490622501198406,0.7263076923076923,Ranks + MSE
1,ppo,0.0,1.0,Optimum
1,ppo,0.04483957656676847,0.6082450221895991,Ranks + MSE
1,ppo,0.0,1.0,Optimum
1,ppo,0.11118875912786497,-0.30958974358974356,Ranks + MSE
2,dqn,0.0,1.0,Optimum
2,dqn,0.03618018065482069,0.6982734664051398,Ranks + MSE
2,dqn,0.0,1.0,Optimum
2,dqn,0.03636502155107515,0.6978738721941722,Ranks + MSE
2,dqn,0.0,1.0,Optimum
2,dqn,0.025036021201795385,0.8219652228324508,Ranks + MSE
2,sac,0.0,1.0,Optimum
2,sac,0.018148624566015587,0.8466666666666667,Ranks + MSE
2,sac,0.0,1.0,Optimum
2,sac,0.016227818748074465,0.8534529914529914,Ranks + MSE
2,sac,0.0,1.0,Optimum
2,sac,0.01042883806319947,0.9035384615384615,Ranks + MSE
2,ppo,0.0,1.0,Optimum
2,ppo,0.026223002872072076,0.7571282051282051,Ranks + MSE
2,ppo,0.0,1.0,Optimum
2,ppo,0.024816065746094136,0.6365982905982905,Ranks + MSE
2,ppo,0.0,1.0,Optimum
2,ppo,0.01299018646692356,0.9238461538461538,Ranks + MSE
3,dqn,0.0,1.0,Optimum
3,dqn,0.03554922077944959,0.7016786843546513,Ranks + MSE
3,dqn,0.0,1.0,Optimum
3,dqn,0.025646859871270633,0.8270934929223765,Ranks + MSE
3,dqn,0.0,1.0,Optimum
3,dqn,0.030784395008203125,0.769636892735428,Ranks + MSE
3,sac,0.0,1.0,Optimum
3,sac,0.014849705619850304,0.8666324786324786,Ranks + MSE
3,sac,0.0,1.0,Optimum
3,sac,0.009124526519813955,0.9131623931623931,Ranks + MSE
3,sac,0.0,1.0,Optimum
3,sac,0.009355674777411319,0.878051282051282,Ranks + MSE
3,ppo,0.0,1.0,Optimum
3,ppo,0.02089587025768393,0.6911282051282052,Ranks + MSE
3,ppo,0.0,1.0,Optimum
3,ppo,0.012117607435612889,0.9184102564102565,Ranks + MSE
3,ppo,0.0,1.0,Optimum
3,ppo,0.020168396732338743,0.8436068376068375,Ranks + MSE
4,dqn,0.0,1.0,Optimum
4,dqn,0.025646859871270626,0.8270934929223765,Ranks + MSE
4,dqn,0.0,1.0,Optimum
4,dqn,0.03085750801405107,0.7614542498029183,Ranks + MSE
4,dqn,0.0,1.0,Optimum
4,dqn,0.009051924970119776,0.7498908829431572,Ranks + MSE
4,sac,0.0,1.0,Optimum
4,sac,0.009219437643444633,0.9133162393162392,Ranks + MSE
4,sac,0.0,1.0,Optimum
4,sac,0.007232809185353212,0.9043589743589744,Ranks + MSE
4,sac,0.0,1.0,Optimum
4,sac,0.010644024906432814,0.8781709401709403,Ranks + MSE
4,ppo,0.0,1.0,Optimum
4,ppo,0.006346223993028989,0.9099487179487179,Ranks + MSE
4,ppo,0.0,1.0,Optimum
4,ppo,0.01452091839501371,0.8125641025641025,Ranks + MSE
4,ppo,0.0,1.0,Optimum
4,ppo,0.007264640896253812,0.8835384615384616,Ranks + MSE
5,dqn,0.0,1.0,Optimum
5,dqn,0.026947654647932334,0.8205619842451395,Ranks + MSE
5,dqn,0.0,1.0,Optimum
5,dqn,0.006325450915424878,0.8302966258581442,Ranks + MSE
5,dqn,0.0,1.0,Optimum
5,dqn,0.010177934435544411,0.8710462487648758,Ranks + MSE
5,sac,0.0,1.0,Optimum
5,sac,0.005783789619422544,0.9221880341880342,Ranks + MSE
5,sac,0.0,1.0,Optimum
5,sac,0.007524743929608645,0.908940170940171,Ranks + MSE
5,sac,0.0,1.0,Optimum
5,sac,0.003465781196398355,0.9463760683760682,Ranks + MSE
5,ppo,0.0,1.0,Optimum
5,ppo,0.006264068098889508,0.907094017094017,Ranks + MSE
5,ppo,0.0,1.0,Optimum
5,ppo,0.0044476474251725915,0.9286837606837606,Ranks + MSE
5,ppo,0.0,1.0,Optimum
5,ppo,0.004695265383645755,0.9179145299145299,Ranks + MSE
6,dqn,0.0,1.0,Optimum
6,dqn,0.005716575768024942,0.8434981538896154,Ranks + MSE
6,dqn,0.0,1.0,Optimum
6,dqn,0.009440992203089114,0.895826828530506,Ranks + MSE
6,dqn,0.0,1.0,Optimum
6,dqn,0.004375522660239523,0.8919869578819488,Ranks + MSE
6,sac,0.0,1.0,Optimum
6,sac,0.0036464115426620364,0.9338290598290598,Ranks + MSE
6,sac,0.0,1.0,Optimum
6,sac,0.0020465081952521064,0.9643076923076922,Ranks + MSE
6,sac,0.0,1.0,Optimum
6,sac,0.0031427321812861524,0.9347008547008546,Ranks + MSE
6,ppo,0.0,1.0,Optimum
6,ppo,0.004159246011032406,0.9420683760683761,Ranks + MSE
6,ppo,0.0,1.0,Optimum
6,ppo,0.0043952249263951885,0.9312307692307693,Ranks + MSE
6,ppo,0.0,1.0,Optimum
6,ppo,0.004605563164544374,0.9255555555555555,Ranks + MSE
1,dqn,0.0,1.0,Optimum
1,dqn,0.030594608059504237,0.5463207397032408,Min-Max + MSE
1,dqn,0.0,1.0,Optimum
1,dqn,0.029496684599748635,0.5671719932362971,Min-Max + MSE
1,dqn,0.0,1.0,Optimum
1,dqn,0.034350253876109973,0.5824615384615385,Min-Max + MSE
1,sac,0.0,1.0,Optimum
1,sac,0.07365043025161147,0.7841880341880341,Min-Max + MSE
1,sac,0.0,1.0,Optimum
1,sac,0.00964727041125262,0.8340512820512821,Min-Max + MSE
1,sac,0.0,1.0,Optimum
1,sac,0.02997018775182796,0.7641880341880343,Min-Max + MSE
1,ppo,0.0,1.0,Optimum
1,ppo,0.10640452614765741,0.6566837606837608,Min-Max + MSE
1,ppo,0.0,1.0,Optimum
1,ppo,0.24770188392975725,0.6092921159056501,Min-Max + MSE
1,ppo,0.0,1.0,Optimum
1,ppo,0.02882717142432777,-0.32598290598290597,Min-Max + MSE
2,dqn,0.0,1.0,Optimum
2,dqn,0.02891136102110702,0.5702905982905981,Min-Max + MSE
2,dqn,0.0,1.0,Optimum
2,dqn,0.029749834039500794,0.585025641025641,Min-Max + MSE
2,dqn,0.0,1.0,Optimum
2,dqn,0.02158671271113224,0.6601538461538461,Min-Max + MSE
2,sac,0.0,1.0,Optimum
2,sac,0.009684342060192,0.8461538461538461,Min-Max + MSE
2,sac,0.0,1.0,Optimum
2,sac,0.02435587514476711,0.8411282051282051,Min-Max + MSE
2,sac,0.0,1.0,Optimum
2,sac,0.035274154998079205,0.9262735042735042,Min-Max + MSE
2,ppo,0.0,1.0,Optimum
2,ppo,0.09840947387485437,0.6915897435897435,Min-Max + MSE
2,ppo,0.0,1.0,Optimum
2,ppo,0.019228446016813026,0.3441025641025641,Min-Max + MSE
2,ppo,0.0,1.0,Optimum
2,ppo,0.09101174354681008,0.7732478632478632,Min-Max + MSE
3,dqn,0.0,1.0,Optimum
3,dqn,0.028984825229853028,0.578,Min-Max + MSE
3,dqn,0.0,1.0,Optimum
3,dqn,0.020597815804990666,0.6634358974358975,Min-Max + MSE
3,dqn,0.0,1.0,Optimum
3,dqn,0.017187459484703755,0.7081367521367522,Min-Max + MSE
3,sac,0.0,1.0,Optimum
3,sac,0.008236614255477821,0.8661880341880341,Min-Max + MSE
3,sac,0.0,1.0,Optimum
3,sac,0.006427310113522934,0.9188888888888889,Min-Max + MSE
3,sac,0.0,1.0,Optimum
3,sac,0.007680509674379328,0.8723076923076922,Min-Max + MSE
3,ppo,0.0,1.0,Optimum
3,ppo,0.017596564459558636,0.46235897435897433,Min-Max + MSE
3,ppo,0.0,1.0,Optimum
3,ppo,0.08794556090209286,0.7972307692307693,Min-Max + MSE
3,ppo,0.0,1.0,Optimum
3,ppo,0.0595777985985352,0.8218119658119658,Min-Max + MSE
4,dqn,0.0,1.0,Optimum
4,dqn,0.02059781580499066,0.6634358974358975,Min-Max + MSE
4,dqn,0.0,1.0,Optimum
4,dqn,0.01718745948470375,0.7081367521367522,Min-Max + MSE
4,dqn,0.0,1.0,Optimum
4,dqn,0.006309886011213095,0.5576410256410256,Min-Max + MSE
4,sac,0.0,1.0,Optimum
4,sac,0.006380181729009682,0.9226495726495727,Min-Max + MSE
4,sac,0.0,1.0,Optimum
4,sac,0.005840485666725849,0.9072649572649573,Min-Max + MSE
4,sac,0.0,1.0,Optimum
4,sac,0.007714738995113828,0.877025641025641,Min-Max + MSE
4,ppo,0.0,1.0,Optimum
4,ppo,0.01306471570964263,0.6204615384615384,Min-Max + MSE
4,ppo,0.0,1.0,Optimum
4,ppo,0.007942990571440227,0.7294358974358974,Min-Max + MSE
4,ppo,0.0,1.0,Optimum
4,ppo,0.006277511358797559,0.7323931623931623,Min-Max + MSE
5,dqn,0.0,1.0,Optimum
5,dqn,0.014672975306790048,0.7678290598290598,Min-Max + MSE
5,dqn,0.0,1.0,Optimum
5,dqn,0.0039783861898049985,0.7247521367521367,Min-Max + MSE
5,dqn,0.0,1.0,Optimum
5,dqn,0.004437588907789962,0.8494529914529915,Min-Max + MSE
5,sac,0.0,1.0,Optimum
5,sac,0.004943172182097914,0.9372991452991453,Min-Max + MSE
5,sac,0.0,1.0,Optimum
5,sac,0.006199066227009798,0.9265811965811965,Min-Max + MSE
5,sac,0.0,1.0,Optimum
5,sac,0.0019582023984075258,0.9459316239316239,Min-Max + MSE
5,ppo,0.0,1.0,Optimum
5,ppo,0.008459405869812834,0.7329572649572649,Min-Max + MSE
5,ppo,0.0,1.0,Optimum
5,ppo,0.005812151896661338,0.7904786324786325,Min-Max + MSE
5,ppo,0.0,1.0,Optimum
5,ppo,0.005538116074354333,0.7921538461538462,Min-Max + MSE
6,dqn,0.0,1.0,Optimum
6,dqn,0.0033678264885520525,0.7541538461538461,Min-Max + MSE
6,dqn,0.0,1.0,Optimum
6,dqn,0.0036224987294187715,0.8777777777777777,Min-Max + MSE
6,dqn,0.0,1.0,Optimum
6,dqn,0.0032013100192817543,0.7931452991452991,Min-Max + MSE
6,sac,0.0,1.0,Optimum
6,sac,0.004670580213719783,0.9483760683760682,Min-Max + MSE
6,sac,0.0,1.0,Optimum
6,sac,0.0012170565790599836,0.9574358974358974,Min-Max + MSE
6,sac,0.0,1.0,Optimum
6,sac,0.0017257771138999539,0.9664444444444446,Min-Max + MSE
6,ppo,0.0,1.0,Optimum
6,ppo,0.0050345334259304046,0.8650085470085468,Min-Max + MSE
6,ppo,0.0,1.0,Optimum
6,ppo,0.004326953998577174,0.8493675213675214,Min-Max + MSE
6,ppo,0.0,1.0,Optimum
6,ppo,0.0035084029844354324,0.8518119658119658,Min-Max + MSE
